order_item_id,product_id,vendor_id,branch_id,employee_id,unit_price,quantity,contract_price,ordered_date_id
1,40,37,4,18,33947,5,34132,1
2,53,40,5,41,66316,2,65542,1
3,111,23,1,47,17739,5,18351,1
4,43,4,9,70,26842,3,27041,1
5,114,28,9,100,63562,4,61978,1
6,20,45,9,82,7417,4,7548,1
7,163,31,5,89,64069,2,61018,1
8,207,44,6,41,100,4,104,1
9,290,43,9,52,91803,3,92435,1
10,35,35,7,12,34360,1,35710,1
11,215,14,4,58,76953,1,77571,1
12,187,9,1,28,83381,4,84511,1
13,146,8,2,42,35183,5,33861,1
14,175,49,3,14,34288,3,34063,1
15,211,12,7,89,59507,2,59216,1
16,198,43,4,27,48503,3,46216,1
17,194,47,3,49,2309,4,2338,1
18,158,22,8,86,73841,2,70828,1
19,217,42,8,50,61509,2,64452,1
20,116,44,8,33,73606,4,72857,1
21,62,33,4,50,46614,4,44476,1
22,247,3,2,81,37435,3,37902,1
23,208,34,3,70,84747,5,84686,1
24,116,38,9,14,21397,4,21633,1
25,282,41,8,65,85680,5,89477,1
26,31,50,8,71,66365,4,66347,1
27,43,2,3,79,39662,2,39144,1
28,228,21,1,53,66517,1,63543,1
29,106,24,6,82,50404,3,51878,1
30,141,17,4,60,22151,3,21872,1
31,162,32,9,45,50114,4,50382,1
32,175,45,3,76,92227,2,92125,1
33,143,23,8,50,27720,1,28077,1
34,94,45,2,57,82809,3,85268,1
35,71,3,5,28,34992,4,34782,1
36,181,42,5,13,13480,4,14092,1
37,30,18,6,101,49436,2,50204,1
38,277,33,3,31,64916,4,67394,1
39,80,44,7,1,54869,1,53167,1
40,274,7,4,24,2419,2,2362,1
41,266,12,7,8,13373,4,13912,1
42,67,49,9,77,48655,2,49063,1
43,86,12,9,38,63300,3,61523,1
44,227,25,3,67,97227,2,96744,1
45,220,44,5,22,78331,4,74670,1
46,182,15,9,23,23367,3,22252,1
47,242,38,2,26,29081,1,28471,1
48,246,41,5,17,46193,1,44415,1
49,242,5,6,5,91870,3,89048,1
50,70,44,4,58,85220,3,81347,1
51,67,16,3,52,86614,5,89965,1
52,208,28,1,96,88528,4,85750,1
53,47,32,2,68,8545,1,8642,1
54,64,32,9,96,20932,4,20653,1
55,121,28,3,12,96540,4,95960,1
56,11,1,7,17,79610,3,77081,1
57,235,18,8,17,2170,3,2090,1
58,43,6,4,12,10987,5,10853,1
59,248,44,7,84,48376,3,48171,1
60,147,49,4,88,69271,4,70416,1
61,236,6,7,75,31265,4,32317,1
62,94,45,8,71,7293,4,7600,1
63,112,41,5,54,37046,4,35618,1
64,67,31,8,73,6642,2,6816,1
65,74,5,2,51,5632,1,5587,1
66,166,25,3,24,79877,1,79524,1
67,202,32,9,10,21049,2,21773,1
68,2,33,8,55,65366,4,68191,1
69,164,3,1,57,65811,4,67858,1
70,187,49,6,78,33754,1,32340,1
71,222,33,7,78,70590,5,68123,1
72,299,19,4,69,81358,5,80846,1
73,148,43,9,83,16939,5,17538,1
74,62,20,8,23,27697,3,28653,1
75,68,34,4,63,79664,5,81418,1
76,187,9,2,29,13599,3,13967,1
77,163,24,2,71,13731,1,13438,1
78,179,39,8,66,38011,2,36618,1
79,47,43,3,15,70096,5,68297,1
80,205,36,4,4,15299,5,16037,1
81,171,7,4,47,44646,3,46032,1
82,264,39,3,87,50123,4,48133,1
83,19,21,4,13,7114,1,6949,1
84,75,25,8,35,55153,2,54427,1
85,238,47,3,54,5741,3,5650,1
86,290,22,5,12,66835,1,66984,1
87,128,1,8,94,14685,5,15180,1
88,194,30,4,63,41976,2,42484,1
89,41,14,6,57,99305,3,103289,1
90,199,11,2,56,8560,1,8617,1
91,233,2,8,21,85604,5,86116,1
92,120,33,6,34,23603,1,23583,1
93,65,33,7,21,19591,3,20293,1
94,190,15,6,88,95624,4,99496,1
95,54,5,1,53,81372,4,82302,1
96,293,7,5,86,95175,2,92575,1
97,158,39,4,76,76816,4,78712,1
98,281,6,7,88,91043,5,94542,1
99,196,42,2,34,4061,2,4012,1
100,224,39,3,65,24160,5,24688,1
101,288,11,2,39,73090,3,74503,1
