sales_id,product,date,sales
1,Animal Paw Print Soap Dispenser,2002,83
2,Tropical Fruit Bowl,2008,5
3,Smoky BBQ Jackfruit,2024,54
4,Plaid Flannel Shirt,2008,4
5,Smoky BBQ Jackfruit,2007,65
6,Electric Knife,2023,27
7,Tropical Fruit Bowl,2006,19
8,Smoky BBQ Jackfruit,2001,10
9,Animal Paw Print Soap Dispenser,2012,53
10,LED Christmas Tree Lights,2006,63
11,Animal Paw Print Soap Dispenser,2023,66
12,Smoky BBQ Jackfruit,2013,87
13,Animal Paw Print Soap Dispenser,2016,83
14,Kids' Art Supplies Kit,2025,81
15,Vanilla Bean Greek Yogurt,2003,93
16,Sporty Cap,2015,92
17,Dark Chocolate Tart,2008,94
18,Self-Stirring Mug,2022,65
19,Indian Curry Sauce,2004,43
20,Electric Toothbrush,2007,60
21,Gaming Headset,2021,28
22,Sporty Cap,2010,17
23,Gaming Headset,2023,7
24,Cotton Sweatpants,2016,82
25,Electric Toothbrush,2005,72
26,Peanut Butter Protein Balls,2016,5
27,Electric Toothbrush,2020,78
28,Gaming Headset,2023,33
29,Cotton Sweatpants,2006,27
30,Self-Stirring Mug,2019,38
31,Tropical Fruit Bowl,2008,17
32,Self-Stirring Mug,2005,30
33,Artisan Bread Loaf,2003,16
34,Peach Yogurt,2020,79
35,Vanilla Bean Greek Yogurt,2007,88
36,Smoky BBQ Jackfruit,2003,98
37,Smoky BBQ Jackfruit,2010,16
38,Dark Chocolate Tart,2013,29
39,Plaid Flannel Shirt,2015,5
40,Cable Knit Cardigan,2001,38
41,Wrap Front Midi Skirt,2011,30
42,Sporty Cap,2009,32
43,Oven-Baked Sweet Potato Fries,2018,69
44,Kids' Art Supplies Kit,2024,12
45,Dark Chocolate Tart,2008,17
46,Peach Yogurt,2011,9
47,Wrap Front Midi Skirt,2025,43
48,Cable Knit Cardigan,2023,66
49,Animal Paw Print Soap Dispenser,2018,87
50,Smoky BBQ Jackfruit,2008,17
51,Peanut Butter Protein Balls,2019,91
52,Self-Stirring Mug,2007,63
53,Self-Stirring Mug,2010,21
54,Cable Knit Cardigan,2016,19
55,Peach Yogurt,2008,21
56,Animal Paw Print Soap Dispenser,2001,83
57,LED Christmas Tree Lights,2019,50
58,Electric Knife,2004,46
59,Electric Knife,2007,22
60,Indian Curry Sauce,2015,16
61,Eco-Friendly Yoga Blocks,2005,97
62,Cotton Sweatpants,2002,11
63,Gaming Headset,2015,55
64,Artisan Bread Loaf,2005,76
65,Sporty Cap,2011,39
66,Computer Monitor Stand,2017,39
67,Electric Toothbrush,2001,60
68,Self-Stirring Mug,2018,27
69,Electric Toothbrush,2004,84
70,Peach Yogurt,2005,85
71,Animal Paw Print Soap Dispenser,2019,63
72,Electric Toothbrush,2008,18
73,Self-Stirring Mug,2016,22
74,Peach Yogurt,2006,96
75,Tropical Fruit Bowl,2018,22
76,Sporty Cap,2018,95
77,Electric Toothbrush,2007,55
78,Electric Toothbrush,2008,94
79,LED Christmas Tree Lights,2022,59
80,Low-Fat Cottage Cheese,2006,81
81,Artisan Bread Loaf,2022,12
82,Eco-Friendly Yoga Blocks,2010,59
83,Animal Paw Print Soap Dispenser,2023,100
84,Electric Knife,2013,86
85,Cotton Sweatpants,2006,34
86,Cable Knit Cardigan,2019,2
87,Cable Knit Cardigan,2019,13
88,Kids' Art Supplies Kit,2008,29
89,Tropical Fruit Bowl,2007,1
90,Animal Paw Print Soap Dispenser,2025,40
91,Wrap Front Midi Skirt,2007,95
92,Animal Paw Print Soap Dispenser,2008,36
93,Self-Stirring Mug,2001,15
94,Self-Stirring Mug,2012,87
95,Animal Paw Print Soap Dispenser,2021,63
96,LED Christmas Tree Lights,2024,25
97,Dark Chocolate Tart,2018,51
98,Animal Paw Print Soap Dispenser,2005,23
99,Peach Yogurt,2020,99
100,Dark Chocolate Tart,2009,38
