product_id,year,country,sales
1,2015,CN,298
1,2015,BR,306
1,2015,PH,632
1,2015,UZ,167
1,2015,CZ,203
1,2015,BE,248
1,2015,GR,364
1,2015,CL,259
1,2015,PT,373
1,2015,CR,235
1,2015,CO,592
1,2015,BS,826
1,2015,ID,587
1,2015,PL,365
1,2015,CM,673
1,2015,ZA,927
1,2015,NZ,819
1,2015,NO,262
1,2015,JP,791
1,2015,RU,171
1,2015,HN,478
1,2015,AX,988
1,2015,RS,950
1,2015,SE,619
1,2015,KZ,151
1,2015,MX,628
1,2015,MA,982
1,2015,TH,797
1,2015,KH,887
1,2015,FR,121
1,2015,NL,885
1,2015,AF,476
1,2015,BY,189
1,2015,CU,960
1,2015,SR,228
1,2015,EC,775
1,2015,SY,852
1,2015,KW,386
1,2015,EG,73
1,2015,DE,558
1,2015,PE,453
1,2015,AR,786
1,2015,UA,830
1,2015,KR,85
1,2016,CN,870
1,2016,BR,116
1,2016,PH,754
1,2016,UZ,349
1,2016,CZ,424
1,2016,BE,289
1,2016,GR,316
1,2016,CL,558
1,2016,PT,336
1,2016,CR,642
1,2016,CO,529
1,2016,BS,790
1,2016,ID,36
1,2016,PL,790
1,2016,CM,402
1,2016,ZA,916
1,2016,NZ,470
1,2016,NO,408
1,2016,JP,104
1,2016,RU,522
1,2016,HN,974
1,2016,AX,721
1,2016,RS,82
1,2016,SE,703
1,2016,KZ,459
1,2016,MX,805
1,2016,MA,330
1,2016,TH,279
1,2016,KH,642
1,2016,FR,90
1,2016,NL,258
1,2016,AF,196
1,2016,BY,775
1,2016,CU,831
1,2016,SR,92
1,2016,EC,636
1,2016,SY,897
1,2016,KW,690
1,2016,EG,580
1,2016,DE,596
1,2016,PE,906
1,2016,AR,976
1,2016,UA,815
1,2016,KR,543
1,2017,CN,886
1,2017,BR,561
1,2017,PH,380
1,2017,UZ,69
1,2017,CZ,956
1,2017,BE,944
1,2017,GR,633
1,2017,CL,329
1,2017,PT,600
1,2017,CR,450
1,2017,CO,897
1,2017,BS,464
1,2017,ID,856
1,2017,PL,107
1,2017,CM,509
1,2017,ZA,137
1,2017,NZ,973
1,2017,NO,283
1,2017,JP,171
1,2017,RU,756
1,2017,HN,135
1,2017,AX,808
1,2017,RS,824
1,2017,SE,970
1,2017,KZ,644
1,2017,MX,898
1,2017,MA,282
1,2017,TH,546
1,2017,KH,504
1,2017,FR,898
1,2017,NL,242
1,2017,AF,779
1,2017,BY,717
1,2017,CU,539
1,2017,SR,843
1,2017,EC,180
1,2017,SY,692
1,2017,KW,130
1,2017,EG,874
1,2017,DE,314
1,2017,PE,115
1,2017,AR,876
1,2017,UA,902
1,2017,KR,297
1,2018,CN,283
1,2018,BR,296
1,2018,PH,19
1,2018,UZ,644
1,2018,CZ,390
1,2018,BE,539
1,2018,GR,672
1,2018,CL,881
1,2018,PT,516
1,2018,CR,236
1,2018,CO,41
1,2018,BS,563
1,2018,ID,66
1,2018,PL,440
1,2018,CM,734
1,2018,ZA,130
1,2018,NZ,267
1,2018,NO,85
1,2018,JP,140
1,2018,RU,318
